iter	MultiClass
0	1.663907599
1	1.56053852
2	1.473755551
3	1.396784853
4	1.332386385
5	1.27304519
6	1.221337105
7	1.175368793
8	1.13332161
9	1.093624441
10	1.057561689
11	1.025695716
12	0.9954013555
13	0.9682936728
14	0.9417370972
15	0.917227287
16	0.8943111524
17	0.8721074725
18	0.8523677344
19	0.8329182728
20	0.8152824752
21	0.7999000498
22	0.783645531
23	0.7689125979
24	0.7550918594
25	0.7417483071
26	0.7285060539
27	0.7167355411
28	0.7052990154
29	0.6953562744
30	0.6850420957
31	0.6751908732
32	0.6652315418
33	0.6558235833
34	0.6472984625
35	0.6387363401
36	0.6306494729
37	0.6228705455
38	0.6160935217
39	0.6093724521
40	0.6030394434
41	0.5969310095
42	0.5908408074
43	0.5853315988
44	0.5798480688
45	0.5749670668
46	0.5694574324
47	0.5651186503
48	0.5602932042
49	0.5560280152
50	0.5515847047
51	0.5485364625
52	0.5440695124
53	0.5403113945
54	0.5368697329
55	0.5335568447
56	0.5302145285
57	0.5270886415
58	0.5231430426
59	0.5206490558
60	0.5183570115
61	0.5156676402
62	0.5124343748
63	0.5097497357
64	0.507038986
65	0.5042245395
66	0.5013086758
67	0.4985755401
68	0.4965992236
69	0.4940432964
70	0.4917869608
71	0.4899998141
72	0.4881788321
73	0.4859183006
74	0.4839686666
75	0.482220511
76	0.4803534321
77	0.4784621849
78	0.4765848264
79	0.4751226671
80	0.473710733
81	0.4721455914
82	0.4710159733
83	0.4692885728
84	0.4675922955
85	0.466282647
86	0.4648286931
87	0.4633688663
88	0.4618797212
89	0.4602377256
90	0.4590558874
91	0.4583240942
92	0.4573485739
93	0.4561400371
94	0.4550384166
95	0.4537719033
96	0.4529252569
97	0.4522298997
98	0.4509749149
99	0.4501000143
100	0.4494517939
101	0.4487012388
102	0.4475827998
103	0.4467671132
104	0.4456650443
105	0.4451182264
106	0.4446336067
107	0.4439328262
108	0.4428651406
109	0.4422396615
110	0.4416079139
111	0.4410357927
112	0.4404897732
113	0.4398659472
114	0.4390357572
115	0.438363851
116	0.4380359364
117	0.4372614042
118	0.4363477411
119	0.4358867054
120	0.4354064554
121	0.4344915017
122	0.4335640982
123	0.4327444885
124	0.4320843851
125	0.4317114955
126	0.4312053657
127	0.4308827933
128	0.4304515134
129	0.4294203477
130	0.4289078379
131	0.4281341875
132	0.4278608506
133	0.4270313753
134	0.4267091273
135	0.4263295336
136	0.4260328007
137	0.4256283432
138	0.4251352684
139	0.4247416653
140	0.4243092482
141	0.4237444756
142	0.4233524689
143	0.4230107395
144	0.4223952171
145	0.4220344615
146	0.4214579703
147	0.4212380918
148	0.4205862916
149	0.4203519725
150	0.4198832844
151	0.4195401212
152	0.4189586893
153	0.4180581273
154	0.417653659
155	0.4173547219
156	0.416909625
157	0.4166368179
158	0.4162361909
159	0.4158322726
160	0.4156987013
161	0.4153677845
162	0.4149708988
163	0.4146595901
164	0.4144060659
165	0.4138119381
166	0.4133953954
167	0.4129872164
168	0.4125584145
169	0.4122076736
170	0.4120101982
171	0.411862367
172	0.4115119194
173	0.4112702974
174	0.4109280646
175	0.4105965138
176	0.4101913516
177	0.4098804358
178	0.4092064023
179	0.4088931185
180	0.4083869534
181	0.4080187351
182	0.4077636094
183	0.4075957125
184	0.4071839405
185	0.4069010918
186	0.4064001429
187	0.4058887267
188	0.4054798821
189	0.4053461089
190	0.4052046273
191	0.4051165904
192	0.4050386193
193	0.4049168074
194	0.4046374804
195	0.404320193
196	0.4037228796
197	0.4036175446
198	0.4032179786
199	0.4027423916
200	0.4025262034
201	0.4023409761
202	0.4019791829
203	0.4015777085
204	0.4013565006
205	0.4010417034
206	0.4005619815
207	0.4003354277
208	0.3999768598
209	0.399875625
210	0.3996805927
211	0.3993956594
212	0.3991698267
213	0.3988097963
214	0.398693015
215	0.3984401199
216	0.3983756208
217	0.3980457028
218	0.3977169902
219	0.3975554994
220	0.397388191
221	0.3972118826
222	0.3969731256
223	0.3967827838
224	0.3966110608
225	0.3965372218
226	0.3963237759
227	0.3960458522
228	0.3959583903
229	0.3956205548
230	0.3954863586
231	0.3953288493
232	0.3952305658
233	0.3949955576
234	0.394845698
235	0.3947866284
236	0.3946112979
237	0.3943447644
238	0.3941821824
239	0.3939136931
240	0.3936771335
241	0.3935762148
242	0.3931399114
243	0.3927729519
244	0.3926646599
245	0.392398257
246	0.3919973033
247	0.3918108345
248	0.3915835828
249	0.3912434479
250	0.3910448815
251	0.3908436138
252	0.3905796549
253	0.3903785982
254	0.3902419661
255	0.3898789837
256	0.3897526332
257	0.3895818386
258	0.3892996545
259	0.389027387
260	0.3886471017
261	0.3884209829
262	0.3882179133
263	0.3878647828
264	0.3876189168
265	0.3872477272
266	0.3870487919
267	0.386875246
268	0.3864893915
269	0.3862314006
270	0.3859927953
271	0.3858520453
272	0.3855439737
273	0.3853708311
274	0.3850639759
275	0.3848385811
276	0.3845309718
277	0.3840619065
278	0.3837622061
279	0.3836105067
280	0.3834912768
281	0.3832526789
282	0.3828760175
283	0.3824685362
284	0.3823813304
285	0.3821527266
286	0.3818254247
287	0.3817294897
288	0.3815867987
289	0.381487541
290	0.3813107911
291	0.3811392618
292	0.3810213826
293	0.3808711096
294	0.3806796123
295	0.3803881136
296	0.380092472
297	0.3799343803
298	0.3796717263
299	0.3794152009
300	0.3789554455
301	0.3787727328
302	0.3786397144
303	0.3784532867
304	0.3782861767
305	0.3780311507
306	0.3779440941
307	0.3777539106
308	0.3776018072
309	0.377417082
310	0.3772757064
311	0.3771501537
312	0.3770527797
313	0.3769116907
314	0.3765910555
315	0.3764145101
316	0.3761133358
317	0.3758323366
318	0.3754987182
319	0.3751779651
320	0.3748813013
321	0.3746219477
322	0.3744743326
323	0.3743363085
324	0.374205572
325	0.3740702153
326	0.3739462884
327	0.3737749559
328	0.3735929758
329	0.3734270482
330	0.3732677991
331	0.3730361129
332	0.3727081767
333	0.3725856542
334	0.3723426986
335	0.3719713399
336	0.3718349293
337	0.3717155914
338	0.3716445282
339	0.3715254646
340	0.3712895371
341	0.3711922581
342	0.3710764052
343	0.3707615753
344	0.3705468714
345	0.3703931494
346	0.3702686227
347	0.3700013004
348	0.3699253592
349	0.3697638113
350	0.3696680347
351	0.3695595231
352	0.3693247714
353	0.3692655378
354	0.3691303719
355	0.3688608647
356	0.3686027261
357	0.3684789358
358	0.3682184031
359	0.3679215949
360	0.367814137
361	0.3675952337
362	0.367364157
363	0.3670774389
364	0.3669689314
365	0.3668231202
366	0.3666671466
367	0.3663308231
368	0.3662040312
369	0.3660323513
370	0.365880071
371	0.3657842762
372	0.3656248427
373	0.3654899526
374	0.3653950145
375	0.3652886678
376	0.3650836636
377	0.3649812989
378	0.3648000121
379	0.3646818606
380	0.3645175715
381	0.3644369488
382	0.3642112112
383	0.3640983094
384	0.3638605672
385	0.3637753843
386	0.3636841967
