iter	Passed	Remaining
0	241	181538
1	347	130545
2	447	111934
3	538	100886
4	629	94203
5	729	90800
6	831	88624
7	927	86376
8	1017	84104
9	1106	82183
10	1200	80947
11	1296	80029
12	1388	79019
13	1476	77922
14	1561	76822
15	1648	75954
16	1753	75909
17	1860	75953
18	1951	75373
19	2039	74732
20	2126	74128
21	2216	73653
22	2308	73260
23	2394	72719
24	2481	72269
25	2580	72150
26	2679	72039
27	2779	71969
28	2887	72090
29	2986	71966
30	3079	71719
31	3176	71565
32	3277	71506
33	3380	71497
34	3484	71483
35	3587	71453
36	3693	71479
37	3802	71551
38	3908	71553
39	4012	71514
40	4132	71767
41	4249	71939
42	4357	71953
43	4470	72029
44	4560	71758
45	4661	71648
46	4786	71905
47	4914	72183
48	5026	72210
49	5131	72154
50	5250	72275
51	5365	72331
52	5464	72175
53	5561	71986
54	5666	71906
55	5767	71789
56	5865	71623
57	5960	71422
58	6065	71350
59	6164	71201
60	6263	71053
61	6367	70968
62	6472	70888
63	6569	70721
64	6671	70610
65	6771	70480
66	6876	70405
67	6978	70297
68	7077	70161
69	7189	70146
70	7296	70089
71	7395	69952
72	7501	69876
73	7594	69682
74	7686	69483
75	7777	69278
76	7868	69077
77	7959	68883
78	8046	68646
79	8134	68433
80	8221	68205
81	8310	68008
82	8408	67879
83	8529	67928
84	8638	67887
85	8747	67846
86	8868	67890
87	8968	67776
88	9064	67624
89	9165	67517
90	9272	67455
91	9387	67449
92	9520	67561
93	9635	67550
94	9754	67563
95	9862	67499
96	9961	67367
97	10062	67252
98	10168	67175
99	10314	67351
100	10432	67345
101	10539	67266
102	10647	67193
103	10755	67120
104	10859	67019
105	10956	66878
106	11054	66741
107	11154	66616
108	11256	66505
109	11351	66353
110	11451	66230
111	11545	66078
112	11641	65934
113	11748	65853
114	11853	65760
115	11968	65723
116	12068	65601
117	12168	65483
118	12275	65400
119	12380	65304
120	12483	65201
121	12595	65147
122	12703	65068
123	12812	64994
124	12919	64909
125	13024	64812
126	13132	64733
127	13238	64642
128	13342	64539
129	13445	64432
130	13542	64303
131	13645	64195
132	13741	64060
133	13845	63959
134	13946	63841
135	14045	63722
136	14159	63667
137	14281	63644
138	14404	63626
139	14511	63539
140	14611	63418
141	14718	63330
142	14825	63240
143	14937	63173
144	15044	63081
145	15156	63011
146	15258	62900
147	15355	62769
148	15455	62651
149	15553	62525
150	15653	62408
151	15762	62325
152	15876	62260
153	15977	62144
154	16071	62005
155	16174	61899
156	16276	61786
157	16372	61656
158	16471	61534
159	16564	61393
160	16659	61255
161	16751	61113
162	16845	60976
163	16936	60827
164	17025	60672
165	17117	60531
166	17208	60385
167	17302	60248
168	17390	60096
169	17489	59979
170	17594	59883
171	17688	59751
172	17783	59622
173	17876	59486
174	17972	59361
175	18077	59264
176	18180	59165
177	18285	59067
178	18388	58965
179	18494	58872
180	18594	58761
181	18705	58685
182	18814	58601
183	18927	58530
184	19035	58444
185	19136	58335
186	19242	58241
187	19355	58169
188	19470	58103
189	19573	58000
190	19681	57910
191	19780	57796
192	19879	57681
193	19979	57570
194	20097	57509
195	20208	57430
196	20324	57363
197	20429	57265
198	20531	57158
199	20630	57043
200	20722	56910
201	20824	56802
202	20944	56745
203	21038	56617
204	21133	56493
205	21228	56369
206	21322	56242
207	21416	56114
208	21511	55991
209	21625	55917
210	21717	55786
211	21813	55666
212	21903	55530
213	21997	55404
214	22088	55273
215	22176	55134
216	22264	54994
217	22353	54858
218	22444	54727
219	22534	54595
220	22625	54464
221	22717	54337
222	22814	54222
223	22907	54097
224	22999	53972
225	23092	53848
226	23186	53728
227	23285	53617
228	23378	53495
